token,2009,2010,2011,2012,2013,2014
2,0,0,1,0,0,0
10,0,0,0,0,1,0
99,1,0,0,0,0,0
2011,0,0,1,0,0,0
2013,0,0,0,0,1,0
7188,0,0,0,0,0,1
02c,0,0,0,0,1,0
10c,0,1,0,0,0,0
accordingly,0,0,0,0,0,1
acetone,1,0,0,0,0,0
achieve,0,0,0,0,1,0
acid,0,0,0,0,1,0
additive,0,0,1,0,0,0
air,0,0,0,0,1,0
anode,1,0,0,0,0,0
application,0,1,4,1,2,0
attack,0,1,0,0,0,0
basis,1,0,0,0,0,0
battery,2,0,4,5,10,0
behavior,0,1,0,1,0,0
behaviour,0,1,0,0,0,0
biomaterial,0,1,0,0,0,0
bv,0,0,0,0,1,2
c10,0,1,0,0,0,0
calculate,0,0,0,0,1,0
calculation,0,0,1,0,0,0
capability,0,0,0,0,1,0
capacity,1,0,1,0,0,1
catalyst,0,0,0,0,0,1
cathode,0,0,0,1,1,1
cav2o4,0,0,0,1,0,0
cell,0,0,1,1,0,1
change,0,0,0,0,1,0
cm2s,0,0,1,0,0,0
cm2s1,1,0,0,0,0,0
coat,0,0,0,1,0,1
component,0,0,0,1,0,0
composite,0,0,0,0,2,0
concentration,0,0,0,0,0,1
conductivity,0,0,0,0,1,1
cycle,5,1,3,0,4,2
demonstrate,0,0,1,0,0,0
density,0,0,0,0,0,1
description,0,0,0,1,0,0
detail,0,0,0,0,1,0
development,0,0,1,0,0,0
device,0,0,1,0,1,1
diffusion,0,0,0,0,2,0
dimension,0,0,0,0,1,0
discuss,0,0,1,2,2,1
dope,0,0,1,0,0,0
durability,0,0,0,1,0,0
effectively,0,0,0,0,1,0
electrode,0,0,1,0,0,0
electrolyte,0,0,0,2,0,1
electron,0,0,0,1,0,0
element,0,0,0,0,1,0
emd,0,0,0,1,0,0
engineering,0,0,0,1,0,0
engineers,1,0,1,0,0,0
experiment,0,0,0,0,1,0
experimentally,0,0,0,1,0,0
film,0,0,0,1,0,0
foam,0,0,0,1,0,0
future,0,0,0,0,1,0
g1,0,0,0,1,0,1
gcm3,1,0,0,0,0,0
gel,0,0,0,0,1,0
gns,0,0,0,0,1,0
greatly,0,0,0,1,0,0
heptamethyldisilazane,0,0,0,0,1,0
highlight,0,0,1,0,0,0
improve,0,0,1,0,0,0
increase,0,0,0,0,1,0
interface,0,0,0,0,1,0
interphase,0,0,0,0,1,0
introduce,1,0,1,0,0,0
investigate,1,0,0,0,0,1
ion,1,0,0,0,0,0
li107mn193o4,0,0,0,1,0,0
li4ti5o12,0,0,0,0,1,0
liclo4,0,0,0,1,0,0
licopo4,0,0,0,1,0,0
life,0,0,0,1,0,0
lifepo4,1,1,0,0,1,0
limn2o4,0,0,0,1,0,0
limno2,0,0,0,0,0,1
ltd,2,0,1,0,0,1
mah,0,1,0,0,0,0
material,0,0,2,4,1,1
matrix,0,0,0,0,1,0
mechanism,1,0,0,0,0,0
meoh,0,0,0,0,1,0
method,0,1,0,0,0,0
microscopy,1,0,0,0,0,0
morphology,0,0,0,0,1,0
mwcnts,0,1,0,0,0,0
nanocrystal,0,0,0,0,1,0
nanomaterials,0,1,0,0,0,0
nanotube,0,0,0,0,0,1
ni,0,0,1,0,0,0
orientation,0,0,0,0,1,0
particle,0,0,0,0,0,1
pcns,0,1,0,0,0,0
pemfc,0,0,1,0,0,0
performance,1,0,1,2,2,0
polarization,0,0,0,0,1,0
potato,0,1,0,0,0,0
powder,0,0,1,0,0,0
power,0,0,0,0,1,0
preparation,0,0,0,0,0,1
procedure,0,0,0,0,0,1
process,0,0,2,2,0,0
product,0,0,1,1,0,0
property,0,0,0,1,1,0
propose,0,0,0,1,1,1
prospect,0,0,0,2,0,0
qdsc,0,1,0,0,0,0
rate,0,1,2,0,0,0
reaction,0,1,0,1,0,0
report,0,0,0,0,1,0
reserve,18,35,26,47,62,44
resistance,0,0,0,0,1,0
respectively,1,0,2,0,2,0
result,0,0,1,0,0,1
salt,0,1,0,0,0,0
sample,1,0,0,0,1,0
security,0,0,0,0,0,1
size,0,1,0,0,1,0
society,0,0,0,0,1,0
solution,0,0,0,1,1,0
stability,0,0,0,1,1,1
state,0,2,0,1,0,0
stem,0,0,0,1,0,0
storage,0,0,1,0,1,1
suggest,0,0,0,0,1,0
sulfinyl,1,0,0,0,0,0
supercapacitors,0,0,0,0,2,0
suppressant,0,0,0,0,1,0
synthesis,0,0,0,0,1,0
system,0,0,0,1,0,0
target,0,0,1,0,0,0
temperature,0,0,2,2,0,0
theory,0,1,0,0,0,0
thousand,0,0,0,0,1,0
titanium,0,0,0,0,1,0
traditional,0,0,0,0,1,0
treatment,0,1,0,0,0,0
unblocked,0,0,0,0,1,0
value,0,0,0,0,1,0
vehicle,0,0,0,1,0,0
vg,0,0,0,0,1,0
zero,1,0,0,0,0,0
null,0,0,1,0,2,0
